case,mask_id,dice_bp_direct,dice_bp_medsam,dice_gt_medsam
s0574,6,0.0,0.0,
s0574,7,0.6918667699457784,0.5413031371821051,
s0574,8,0.0508339952343129,0.0548327137546468,
s0574,9,0.018524755810037,0.0082457225314368,
s0574,10,0.3274874110088557,0.2819976076555024,
s0587,1,0.0,0.0,
s0587,2,0.0,0.0,
s0587,3,0.0,0.0,
s0587,4,0.0,0.0,
s0587,5,0.0,0.0,
s0587,6,0.0,0.0,
s0587,7,0.0,0.0,
s0587,8,0.0130979498861047,0.0093916755602988,
s0587,9,0.0,0.0,
s0587,10,0.0,0.0,
s0587,11,0.0,0.0,
s0587,12,0.2695214105793451,0.3961526901112113,
s0587,13,0.1825827930611529,0.2169278996865203,
s0587,14,0.0,0.0,
s0595,1,0.0,0.0,
s0595,2,0.0,0.0,
s0595,3,0.0499274363584917,0.0565673880437111,
s0595,4,0.0243700672971583,0.0266686457869477,
s0595,5,0.7420486958502933,0.6508607337257158,
s0603,1,0.0,0.0,
s0605,1,0.0041003466656726,0.0001984126984126,
s0605,2,0.0,0.0,
s0605,3,0.0047003525264394,0.0258038904327113,
s0605,4,0.7324001087251971,0.6303335431088735,
s0605,5,0.0117219297769577,0.0424366236419351,
s0605,6,0.0848375451263537,0.3066435495310899,
s0608,1,0.0,0.0,
s0608,2,0.0,0.0,
s0608,3,0.0,0.0,
s0608,4,0.0063027620133748,0.0031575216676869,
s0608,5,0.0018467220683287,0.0098106319872233,
s0608,6,0.0635021634003563,0.122091114501458,
s0608,7,0.0177048792041686,0.0405699526974085,
s0608,8,0.0047301923196614,0.0103073105554495,
s0627,1,0.0,0.0,
s0627,2,0.0,0.0,
s0627,3,0.0,0.0,
s0627,4,0.0024686278543509,0.0033001903955997,
s0627,5,0.0033009352649917,0.0092309098386875,
s0627,6,0.0083263946711074,0.0051491096331259,
s0627,7,0.0,0.0768261964735516,
s0627,8,0.0,0.0449545671927307,
s0627,9,0.7304636985036025,0.5328255902513328,
s0633,1,0.1983977498179261,0.2300820796975738,
s0652,1,0.0,0.0,
s0652,2,0.0777461604428159,0.0787843900115129,
s0652,3,0.0,0.0,
s0652,4,0.0074823318458447,0.0074411607791003,
s0652,5,0.0092808426141759,0.0318276127184067,
s0669,1,0.0,0.0,
s0669,2,0.0151006711409395,0.031104199066874,
s0669,3,0.7142353521821899,0.6038378413779554,
s0669,4,0.1756122980719124,0.2256339485941004,
s0675,1,0.0,0.0,
s0675,2,0.0,0.0,
s0675,3,0.4837840138467213,0.4463497344679762,
s0675,4,0.5568457164791402,0.5072091273821464,
s0685,1,0.6788342092689919,0.255090029210446,
s0685,2,0.0,0.0,
s0692,1,0.0020842544053559,0.0017567207878626,
s0692,2,0.0,0.0,
s0692,3,0.0,0.0,
s0692,4,0.6669236328595519,0.6156938133519748,
s0692,5,0.6289345352445692,0.560989010989011,
s0692,6,0.7150762865270235,0.6599919903884661,
s0697,1,0.0,0.0,
s0697,2,0.0,0.0,
s0697,3,0.0007504690431519,0.0075704472171596,
s0707,1,0.0636380933194551,0.0571050600815786,
s0707,2,0.1527159394479074,0.2293946024799416,
s0724,1,0.6431461810824481,0.5518590998043053,
s0724,2,0.255091103965702,0.2663061845217979,
s0736,1,0.0,0.0,
s0736,2,0.0,0.0,
s0736,3,0.5628154050464808,0.6350910834132311,
s0740,1,0.0019278320271572,0.0,
s0740,2,0.0151676509503985,0.0,
s0740,3,0.0,0.0,
s0751,1,0.0,0.0,
s0751,2,0.2893090702303099,0.247233141820381,
s0751,3,0.09310496267018,0.0676056338028169,
s0751,4,0.0,0.0,
s0751,5,0.0,0.0,
s0751,6,0.0171175301849304,0.0084949511139605,
s0751,7,0.7862527933989834,0.7706768099085222,
s0751,8,0.7674288438815067,0.7199402125775022,
s0751,9,0.5609186325798704,0.5269563158517817,
s0751,10,0.7204169132826147,0.7178986577612227,
s0751,11,0.2111695246483719,0.3794884287454324,
