case,mask_id,dice_bp_direct,dice_bp_medsam,dice_gt_medsam
s1004,1,0.1623373335358752,0.1637832656228602,
s1004,2,0.0015182913067563,0.00786623368765,
s1004,3,0.0,0.0,
s1004,4,0.0,0.0,
s1013,1,0.0,0.0001052742393936,
s1013,2,0.0102739726027397,0.029236868186323,
s1013,3,0.0,0.0,
s1013,4,0.0,0.0,
s1013,5,0.0,0.0,
s1025,1,0.0004493776120073,0.0021737500936961,
s1025,2,0.0,0.0,
s1025,3,0.0,0.0,
s1025,4,0.0,0.0,
s1025,5,0.0,3.118203291263574e-05,
s1025,6,0.0,0.0,
s1025,7,0.0,0.0,
s1025,8,0.0,0.0,
s1026,1,0.0,0.0,
s1026,2,0.0,0.0,
s1026,3,0.0,0.0,
s1026,4,0.0,0.0,
s1062,1,0.0,0.0,
s1062,2,0.0,0.0,
s1062,3,0.0,0.0,
s1062,4,0.0,0.0,
s1062,5,0.0,0.0,
s1062,6,0.0,0.0,
s1062,7,0.0,0.0,
s1077,1,0.0,0.0,
s1077,2,0.002710027100271,0.0064102564102564,
s1077,3,0.0,0.0,
s1077,4,0.0,0.0,
s1077,5,0.0,0.0,
s1077,6,0.0,0.0,
s1094,1,0.0,0.0,
s1094,2,0.0,0.0,
s1094,3,0.0,0.0,
s1142,1,0.0,0.0,
s1142,2,0.0,0.0,
s1142,3,0.0,0.0,
s1142,4,0.0,0.0,
s1142,5,0.0,0.0,
s1142,6,0.0,0.0,
s1142,7,0.0,0.0,
s1208,1,0.0,0.0,
s1208,2,0.0,0.0,
s1208,3,0.0,0.0226712666338097,
s1208,4,0.0,0.0,
s1226,1,0.0,0.0,
s1226,2,0.0005342831700801,0.0097876706922409,
s1226,3,0.0563556668753913,0.1369230769230769,
s1226,4,0.0,0.0,
s1226,5,0.000214598031063,0.0101512218094291,
s1292,1,0.0,0.0,
s1292,2,0.0,0.0,
s1292,3,0.0356449397761535,0.0631684797513483,
s1292,4,0.0011883541295306,0.0063291139240506,
s1334,1,0.0,0.0,
s1334,2,0.0,0.0,
s1334,3,0.0488343558282208,0.0413165266106442,
s1334,4,0.0009290802105915,0.0151645207439198,
s1334,5,0.0,0.0,
s1334,6,0.0,0.0,
s1344,1,0.0,0.0,
s1344,2,0.0011576753878212,0.000970739148523,
s1344,3,0.0,0.0,
s1344,4,0.0,0.0,
s1349,1,0.0,0.0,
s1349,2,0.0,0.0,
s1349,3,0.0,0.0,
s1357,1,0.0,0.0,
s1359,1,0.003210937904604,0.0,
s1369,1,0.0,0.0,
s1369,2,0.0,0.0,
s1371,1,0.0,0.0,
s1371,2,0.0,0.0,
s1371,3,0.0993535216059884,0.0632273079906904,
s1378,1,0.282595616673829,0.2684898207231844,
s1378,2,0.0,0.0,
s1380,1,0.0,0.0,
s1380,2,0.0,0.0,
s1380,3,0.0,0.0,
s1384,1,0.0,0.0,
s1384,2,0.0,0.0,
s1384,3,0.0,0.0,
s1384,4,0.0,0.0,
s1384,5,0.0,0.0,
s1384,6,0.0,0.0,
s1384,7,0.0,0.0,
s1388,1,0.0,0.0,
s1397,1,0.0,0.0,
s1397,2,0.0,0.0,
s1397,3,0.0,0.0,
s1397,4,0.0,0.0,
s1397,5,0.0,0.0,
s1397,6,0.0,0.0,
s1397,7,0.0082079343365253,0.0322217214961694,
s1399,1,0.0357920193470374,0.0226092781778596,
