case,mask_id,mode,prompt,dice,iou,gt_pos,pred_pos,bp_pred_pos,slices_used
s0402,5,structured,atelectasis,0.0,0.0,175,3297,861,21
s0402,6,structured,calcification,0.0,0.0,12,4213,1666,15
s0402,7,structured,lesion,0.0,0.0,285,1316,158,16
s0402,8,structured,lesion,0.0,0.0,122,693,74,11
s0402,9,structured,cyst,0.0,0.0,0,451,37,6
s0402,10,structured,lesion,0.00018729514593413454,9.365634365634366e-05,30994,1041,98,16
s0408,1,structured,lesion,0.11420089377358789,0.060558356081793975,57259,6068,3567,29
s0410,1,structured,lesion,0.0034402683409305926,0.0017230981304385284,298,11329,8294,30
s0410,2,structured,aneurysm,0.0,0.0,30,8930,9221,13
s0410,3,structured,calcification,0.0,0.0,4650,5110,2895,13
s0411,1,structured,calcification,0.0,0.0,199,4382,1816,13
s0420,1,structured,lesion,0.0,0.0,6710,4564,2766,27
s0421,1,structured,effusion,0.038470152039216665,0.019612320495255492,71023,9351,5329,32
s0423,1,structured,lesion,0.0,0.0,329,5002,2587,31
s0423,2,structured,lesion,0.0,0.0,0,1056,154,17
s0429,1,structured,lesion,0.0,0.0,204,2989,1269,25
s0431,1,structured,cyst,0.0,0.0,20,20896,16859,14
s0431,2,structured,lesion,0.0,0.0,1461,3477,1698,31
s0431,3,structured,lesion,0.0,0.0,301,981,121,15
s0436,1,structured,nodule,0.0,0.0,71,10482,6738,30
s0436,2,structured,effusion,0.0,0.0,254,5407,2947,30
s0436,3,structured,lesion,0.0,0.0,603,2005,534,20
s0436,4,structured,thickening,0.0,0.0,712,25395,15687,25
s0440,1,structured,lesion,0.0,0.0,26368,3880,1620,31
s0440,2,structured,lesion,0.0,0.0,144,1652,212,17
s0440,3,structured,abscess,0.0,0.0,1358,12714,7908,24
s0446,1,structured,lesion,0.043357076494270674,0.022158911047799938,432,6026,3555,30
s0446,2,structured,lesion,0.0,0.0,3075,1738,383,19
s0446,3,structured,cyst,0.0,0.0,0,2705,610,22
s0446,4,structured,calculus,0.0,0.0,6,14646,10417,21
s0447,1,structured,lesion,0.002203249793445332,0.0011028398125172319,13,3618,1589,24
s0447,2,structured,lesion,0.0,0.0,26,955,81,13
s0447,3,structured,lesion,0.0,0.0,17,563,59,9
s0456,1,structured,lesion,0.0,0.0,0,5525,3466,30
s0456,2,structured,lesion,0.0,0.0,86,927,123,16
s0456,3,structured,lesion,0.0,0.0,394,945,68,15
s0460,1,structured,lesion,0.0,0.0,111,65097,34123,30
s0461,1,structured,lesion,0.0,0.0,8,5108,3253,32
s0461,2,structured,cyst,0.0,0.0,9,2397,788,11
s0461,3,structured,cyst,0.0,0.0,25,632,79,8
s0461,4,structured,calcification,0.0027951178608031303,0.0013995148348572494,15,10718,6853,17
s0467,1,structured,lesion,0.0,0.0,2047,4274,2556,28
s0467,2,structured,lesion,0.0,0.0,1300,1560,362,19
s0467,3,structured,effusion,0.03414948453608247,0.017371353654539495,1628,1476,400,21
s0468,1,structured,cyst,0.0,0.0,25,3911,2067,15
s0468,2,structured,cyst,0.0,0.0,400,1930,480,10
s0468,3,structured,calcification,0.002577984016499098,0.0012906556530717604,10,7748,6043,21
s0472,1,structured,thickening,0.0,0.0,984,13604,7616,24
s0472,2,structured,cyst,0.0,0.0,0,1051,183,11
s0474,1,structured,lesion,0.0,0.0,1091,11138,9116,29
s0476,1,structured,lesion,0.0,0.0,0,5129,3025,30
s0476,2,structured,cyst,0.0,0.0,0,2910,846,11
s0476,3,structured,lesion,0.0,0.0,36,1061,174,19
s0477,1,structured,calcification,0.0,0.0,72,10638,5311,20
s0477,2,structured,nodule,0.040290620871862616,0.02055948769801146,216,2812,1082,23
s0477,3,structured,cyst,0.0,0.0,0,2187,641,15
s0477,4,structured,lesion,0.03950931973872869,0.020152771006013325,1437,4840,1905,29
s0478,1,structured,thickening,0.0,0.0,213,1285,884,8
s0478,2,structured,calcification,0.0,0.0,31,586,60,8
s0478,3,structured,emphysema,0.0,0.0,35249,915,248,8
s0478,4,structured,emphysema,0.0,0.0,38111,615,86,6
s0483,1,structured,lesion,0.0,0.0,170,4270,2143,26
s0483,2,structured,lesion,0.0,0.0,427,1794,246,19
s0483,3,structured,lesion,0.0,0.0,109,749,126,10
s0483,4,structured,calcification,0.0,0.0,12,3772,1720,19
s0483,5,structured,cyst,0.0,0.0,16,10130,4543,17
s0483,6,structured,effusion,0.0,0.0,557,1301,214,14
s0483,7,structured,lesion,0.0,0.0,35303,334,13,6
s0483,8,structured,lesion,0.0030717126767219314,0.0015382188214877338,24577,816,71,8
s0483,9,structured,lesion,0.0,0.0,28407,147,6,3
s0483,10,structured,lesion,0.0,0.0,10515,355,22,4
s0483,11,structured,lesion,0.0,0.0,19872,204,5,3
s0483,12,structured,lesion,0.0,0.0,17832,95,7,2
s0484,1,structured,calcification,0.011875603057967787,0.005973269618457403,447,13026,7183,22
s0484,2,structured,lesion,0.0,0.0,257,4502,1941,31
s0484,3,structured,cyst,0.0,0.0,12,6717,3237,12
s0484,4,structured,lesion,0.0,0.0,25,1711,405,19
s0484,5,structured,emphysema,0.0,0.0,24383,3197,1100,17
s0484,6,structured,emphysema,0.0,0.0,28113,953,141,11
s0484,7,structured,emphysema,0.0,0.0,11691,1549,330,14
s0484,8,structured,emphysema,0.0,0.0,27162,785,52,8
s0484,9,structured,emphysema,0.0,0.0,31810,1002,217,7
s0484,10,structured,lesion,0.0,0.0,36565,587,87,8
s0487,1,structured,lesion,0.0,0.0,683,4258,2198,30
s0487,2,structured,lesion,0.0,0.0,21,1322,134,18
s0487,3,structured,lesion,0.001272264631043257,0.0006365372374283895,467,1105,229,13
s0487,4,structured,lesion,0.006798866855524079,0.0034110289937464467,2481,1049,63,15
s0497,1,structured,lesion,0.0,0.0,182,5005,3614,29
s0497,2,structured,lesion,0.002844950213371266,0.0014245014245014246,10246,1002,192,14
s0497,3,structured,emphysema,0.0,0.0,31018,1748,893,10
s0497,4,structured,emphysema,0.0,0.0,40142,681,89,8
s0498,1,structured,lesion,0.05755822578252485,0.029631892469833512,1427,5314,3256,30
s0498,2,structured,lesion,0.0,0.0,180,1270,127,19
s0498,3,structured,cyst,0.0,0.0,59,692,210,5
s0498,4,structured,lesion,0.0,0.0,186,1520,245,19
s0498,5,structured,emphysema,0.0010157084566485123,0.0005081122752917265,48915,8188,5850,15
s0498,6,structured,emphysema,0.0,0.0,75586,1321,288,12
s0498,7,structured,emphysema,0.0,0.0,16650,4335,2476,10
s0498,8,structured,emphysema,0.0,0.0,61665,815,121,9
s0498,9,structured,emphysema,0.0,0.0,82334,636,162,7
s0498,10,structured,lesion,0.0,0.0,65857,871,72,13
s0500,1,structured,nodule,0.0,0.0,24,1769,437,11
s0500,2,structured,lesion,0.0,0.0,0,6736,4306,32
s0500,3,structured,cyst,0.0,0.0,0,1834,348,13
s0500,4,structured,lesion,0.0,0.0,73,1606,382,20
